BOTTOMLAYER
640,-0.5
(0.005,(-0.035 0.015 0),-2.37766e-10)
(0.005,(-0.035 0.02 0),-2.43066e-10)
(0.005,(-0.035 0.025 0),-2.51039e-10)
(0.005,(-0.035 0.03 0),-2.63276e-10)
(0.005,(-0.035 0.035 0),-2.82964e-10)
(0.005,(-0.035 0.04 0),-3.17119e-10)
(0.005,(-0.035 0.045 0),-3.83406e-10)
(0.005,(-0.035 0.05 0),-5.35238e-10)
(0.005,(-0.035 0.055 0),-9.95603e-10)
(0.005,(-0.035 0.06 0),-1.86112e-09)
(0.005,(-0.035 0.065 0),-2.06467e-09)
(0.005,(-0.035 0.07 0),-2.09977e-09)
(0.005,(-0.035 0.075 0),-2.58071e-09)
(0.005,(-0.03 -0.08 0),-2.57317e-09)
(0.005,(-0.03 -0.075 0),-2.09057e-09)
(0.005,(-0.03 -0.07 0),-2.05444e-09)
(0.005,(-0.03 -0.065 0),-1.85308e-09)
(0.005,(-0.03 -0.06 0),-1.00035e-09)
(0.005,(-0.03 -0.055 0),-5.48638e-10)
(0.005,(-0.03 -0.05 0),-4.0097e-10)
(0.005,(-0.03 -0.045 0),-3.3705e-10)
(0.005,(-0.03 -0.04 0),-3.04352e-10)
(0.005,(-0.03 -0.035 0),-2.85611e-10)
(0.005,(-0.03 -0.03 0),-2.74012e-10)
(0.005,(-0.03 -0.025 0),-2.66476e-10)
(0.005,(-0.03 -0.02 0),-2.61478e-10)
(0.005,(-0.03 -0.015 0),-2.58206e-10)
(0.005,(-0.03 -0.01 0),-2.56218e-10)
(0.005,(-0.03 -0.005 0),-2.55276e-10)
(0.005,(-0.03 0 0),-2.55276e-10)
(0.005,(-0.03 0.005 0),-2.56218e-10)
(0.005,(-0.03 0.01 0),-2.58206e-10)
(0.005,(-0.03 0.015 0),-2.61478e-10)
(0.005,(-0.03 0.02 0),-2.66476e-10)
(0.005,(-0.03 0.025 0),-2.74012e-10)
(0.005,(-0.03 0.03 0),-2.85611e-10)
(0.005,(-0.03 0.035 0),-3.04352e-10)
(0.005,(-0.03 0.04 0),-3.3705e-10)
(0.005,(-0.03 0.045 0),-4.0097e-10)
(0.005,(-0.03 0.05 0),-5.48638e-10)
(0.005,(-0.03 0.055 0),-1.00035e-09)
(0.005,(-0.03 0.06 0),-1.85308e-09)
(0.005,(-0.03 0.065 0),-2.05444e-09)
(0.005,(-0.03 0.07 0),-2.09057e-09)
(0.005,(-0.03 0.075 0),-2.57317e-09)
(0.005,(-0.025 -0.08 0),-2.56888e-09)
(0.005,(-0.025 -0.075 0),-2.08501e-09)
(0.005,(-0.025 -0.07 0),-2.04774e-09)
(0.005,(-0.025 -0.065 0),-1.85051e-09)
(0.005,(-0.025 -0.06 0),-1.02155e-09)
(0.005,(-0.025 -0.055 0),-5.88131e-10)
(0.005,(-0.025 -0.05 0),-4.50178e-10)
(0.005,(-0.025 -0.045 0),-3.91565e-10)
(0.005,(-0.025 -0.04 0),-3.61804e-10)
(0.005,(-0.025 -0.035 0),-3.4474e-10)
(0.005,(-0.025 -0.03 0),-3.34139e-10)
(0.005,(-0.025 -0.025 0),-3.2722e-10)
(0.005,(-0.025 -0.02 0),-3.22612e-10)
(0.005,(-0.025 -0.015 0),-3.19586e-10)
(0.005,(-0.025 -0.01 0),-3.17742e-10)
(0.005,(-0.025 -0.005 0),-3.16868e-10)
(0.005,(-0.025 0 0),-3.16868e-10)
(0.005,(-0.025 0.005 0),-3.17742e-10)
(0.005,(-0.025 0.01 0),-3.19586e-10)
(0.005,(-0.025 0.015 0),-3.22612e-10)
(0.005,(-0.025 0.02 0),-3.2722e-10)
(0.005,(-0.025 0.025 0),-3.34139e-10)
(0.005,(-0.025 0.03 0),-3.4474e-10)
(0.005,(-0.025 0.035 0),-3.61804e-10)
(0.005,(-0.025 0.04 0),-3.91565e-10)
(0.005,(-0.025 0.045 0),-4.50178e-10)
(0.005,(-0.025 0.05 0),-5.88131e-10)
(0.005,(-0.025 0.055 0),-1.02155e-09)
(0.005,(-0.025 0.06 0),-1.85051e-09)
(0.005,(-0.025 0.065 0),-2.04774e-09)
(0.005,(-0.025 0.07 0),-2.08501e-09)
(0.005,(-0.025 0.075 0),-2.56888e-09)
(0.005,(-0.02 -0.08 0),-2.56628e-09)
(0.005,(-0.02 -0.075 0),-2.08127e-09)
(0.005,(-0.02 -0.07 0),-2.04205e-09)
(0.005,(-0.02 -0.065 0),-1.85587e-09)
(0.005,(-0.02 -0.06 0),-1.0855e-09)
(0.005,(-0.02 -0.055 0),-6.96271e-10)
(0.005,(-0.02 -0.05 0),-5.79012e-10)
(0.005,(-0.02 -0.045 0),-5.30344e-10)
(0.005,(-0.02 -0.04 0),-5.05617e-10)
(0.005,(-0.02 -0.035 0),-4.91274e-10)
(0.005,(-0.02 -0.03 0),-4.82233e-10)
(0.005,(-0.02 -0.025 0),-4.76256e-10)
(0.005,(-0.02 -0.02 0),-4.72232e-10)
(0.005,(-0.02 -0.015 0),-4.69569e-10)
(0.005,(-0.02 -0.01 0),-4.67938e-10)
(0.005,(-0.02 -0.005 0),-4.67162e-10)
(0.005,(-0.02 0 0),-4.67162e-10)
(0.005,(-0.02 0.005 0),-4.67938e-10)
(0.005,(-0.02 0.01 0),-4.69569e-10)
(0.005,(-0.02 0.015 0),-4.72232e-10)
(0.005,(-0.02 0.02 0),-4.76256e-10)
(0.005,(-0.02 0.025 0),-4.82233e-10)
(0.005,(-0.02 0.03 0),-4.91274e-10)
(0.005,(-0.02 0.035 0),-5.05617e-10)
(0.005,(-0.02 0.04 0),-5.30344e-10)
(0.005,(-0.02 0.045 0),-5.79012e-10)
(0.005,(-0.02 0.05 0),-6.96271e-10)
(0.005,(-0.02 0.055 0),-1.0855e-09)
(0.005,(-0.02 0.06 0),-1.85587e-09)
(0.005,(-0.02 0.065 0),-2.04205e-09)
(0.005,(-0.02 0.07 0),-2.08127e-09)
(0.005,(-0.02 0.075 0),-2.56628e-09)
(0.005,(-0.015 -0.08 0),-2.56466e-09)
(0.005,(-0.015 -0.075 0),-2.07865e-09)
(0.005,(-0.015 -0.07 0),-2.03635e-09)
(0.005,(-0.015 -0.065 0),-1.89748e-09)
(0.005,(-0.015 -0.06 0),-1.33692e-09)
(0.005,(-0.015 -0.055 0),-1.0747e-09)
(0.005,(-0.015 -0.05 0),-1.00162e-09)
(0.005,(-0.015 -0.045 0),-9.71276e-10)
(0.005,(-0.015 -0.04 0),-9.55422e-10)
(0.005,(-0.015 -0.035 0),-9.45913e-10)
(0.005,(-0.015 -0.03 0),-9.39737e-10)
(0.005,(-0.015 -0.025 0),-9.35553e-10)
(0.005,(-0.015 -0.02 0),-9.32683e-10)
(0.005,(-0.015 -0.015 0),-9.30758e-10)
(0.005,(-0.015 -0.01 0),-9.29568e-10)
(0.005,(-0.015 -0.005 0),-9.28999e-10)
(0.005,(-0.015 0 0),-9.28999e-10)
(0.005,(-0.015 0.005 0),-9.29568e-10)
(0.005,(-0.015 0.01 0),-9.30758e-10)
(0.005,(-0.015 0.015 0),-9.32683e-10)
(0.005,(-0.015 0.02 0),-9.35553e-10)
(0.005,(-0.015 0.025 0),-9.39737e-10)
(0.005,(-0.015 0.03 0),-9.45913e-10)
(0.005,(-0.015 0.035 0),-9.55422e-10)
(0.005,(-0.015 0.04 0),-9.71276e-10)
(0.005,(-0.015 0.045 0),-1.00162e-09)
(0.005,(-0.015 0.05 0),-1.0747e-09)
(0.005,(-0.015 0.055 0),-1.33692e-09)
(0.005,(-0.015 0.06 0),-1.89748e-09)
(0.005,(-0.015 0.065 0),-2.03635e-09)
(0.005,(-0.015 0.07 0),-2.07865e-09)
(0.005,(-0.015 0.075 0),-2.56466e-09)
(0.005,(-0.01 -0.08 0),-2.5637e-09)
(0.005,(-0.01 -0.075 0),-2.07694e-09)
(0.005,(-0.01 -0.07 0),-2.03045e-09)
(0.005,(-0.01 -0.065 0),-1.982e-09)
(0.005,(-0.01 -0.06 0),-1.88237e-09)
(0.005,(-0.01 -0.055 0),-1.83009e-09)
(0.005,(-0.01 -0.05 0),-1.81565e-09)
(0.005,(-0.01 -0.045 0),-1.80877e-09)
(0.005,(-0.01 -0.04 0),-1.8046e-09)
(0.005,(-0.01 -0.035 0),-1.80177e-09)
(0.005,(-0.01 -0.03 0),-1.79973e-09)
(0.005,(-0.01 -0.025 0),-1.79825e-09)
(0.005,(-0.01 -0.02 0),-1.79717e-09)
(0.005,(-0.01 -0.015 0),-1.79642e-09)
(0.005,(-0.01 -0.01 0),-1.79594e-09)
(0.005,(-0.01 -0.005 0),-1.79571e-09)
(0.005,(-0.01 0 0),-1.79571e-09)
(0.005,(-0.01 0.005 0),-1.79594e-09)
(0.005,(-0.01 0.01 0),-1.79642e-09)
(0.005,(-0.01 0.015 0),-1.79717e-09)
(0.005,(-0.01 0.02 0),-1.79825e-09)
(0.005,(-0.01 0.025 0),-1.79973e-09)
(0.005,(-0.01 0.03 0),-1.80177e-09)
(0.005,(-0.01 0.035 0),-1.8046e-09)
(0.005,(-0.01 0.04 0),-1.80877e-09)
(0.005,(-0.01 0.045 0),-1.81565e-09)
(0.005,(-0.01 0.05 0),-1.83009e-09)
