BOTTOMLAYER
640,-0.5
(0.005,(-0.035 0.015 0),-1.85747e-09)
(0.005,(-0.035 0.02 0),-1.84498e-09)
(0.005,(-0.035 0.025 0),-1.84372e-09)
(0.005,(-0.035 0.03 0),-1.84458e-09)
(0.005,(-0.035 0.035 0),-1.84678e-09)
(0.005,(-0.035 0.04 0),-1.85048e-09)
(0.005,(-0.035 0.045 0),-1.85687e-09)
(0.005,(-0.035 0.05 0),-1.87072e-09)
(0.005,(-0.035 0.055 0),-1.92194e-09)
(0.005,(-0.035 0.06 0),-2.02003e-09)
(0.005,(-0.035 0.065 0),-2.06764e-09)
(0.005,(-0.035 0.07 0),-2.11352e-09)
(0.005,(-0.035 0.075 0),-2.62697e-09)
(0.005,(-0.03 -0.08 0),-2.61508e-09)
(0.005,(-0.03 -0.075 0),-2.10294e-09)
(0.005,(-0.03 -0.07 0),-2.06016e-09)
(0.005,(-0.03 -0.065 0),-1.92255e-09)
(0.005,(-0.03 -0.06 0),-1.36901e-09)
(0.005,(-0.03 -0.055 0),-1.11156e-09)
(0.005,(-0.03 -0.05 0),-1.0417e-09)
(0.005,(-0.03 -0.045 0),-1.01466e-09)
(0.005,(-0.03 -0.04 0),-1.00298e-09)
(0.005,(-0.03 -0.035 0),-9.99575e-10)
(0.005,(-0.03 -0.03 0),-1.00392e-09)
(0.005,(-0.03 -0.025 0),-1.02166e-09)
(0.005,(-0.03 -0.02 0),-1.07857e-09)
(0.005,(-0.03 -0.015 0),-1.29352e-09)
(0.005,(-0.03 -0.01 0),-1.76872e-09)
(0.005,(-0.03 -0.005 0),-1.84707e-09)
(0.005,(-0.03 0 0),-1.84707e-09)
(0.005,(-0.03 0.005 0),-1.76872e-09)
(0.005,(-0.03 0.01 0),-1.29352e-09)
(0.005,(-0.03 0.015 0),-1.07857e-09)
(0.005,(-0.03 0.02 0),-1.02166e-09)
(0.005,(-0.03 0.025 0),-1.00392e-09)
(0.005,(-0.03 0.03 0),-9.99575e-10)
(0.005,(-0.03 0.035 0),-1.00298e-09)
(0.005,(-0.03 0.04 0),-1.01466e-09)
(0.005,(-0.03 0.045 0),-1.0417e-09)
(0.005,(-0.03 0.05 0),-1.11156e-09)
(0.005,(-0.03 0.055 0),-1.36901e-09)
(0.005,(-0.03 0.06 0),-1.92255e-09)
(0.005,(-0.03 0.065 0),-2.06016e-09)
(0.005,(-0.03 0.07 0),-2.10294e-09)
(0.005,(-0.03 0.075 0),-2.61508e-09)
(0.005,(-0.025 -0.08 0),-2.60769e-09)
(0.005,(-0.025 -0.075 0),-2.09704e-09)
(0.005,(-0.025 -0.07 0),-2.0566e-09)
(0.005,(-0.025 -0.065 0),-1.872e-09)
(0.005,(-0.025 -0.06 0),-1.11218e-09)
(0.005,(-0.025 -0.055 0),-7.30085e-10)
(0.005,(-0.025 -0.05 0),-6.17512e-10)
(0.005,(-0.025 -0.045 0),-5.73878e-10)
(0.005,(-0.025 -0.04 0),-5.55938e-10)
(0.005,(-0.025 -0.035 0),-5.52175e-10)
(0.005,(-0.025 -0.03 0),-5.62052e-10)
(0.005,(-0.025 -0.025 0),-5.95908e-10)
(0.005,(-0.025 -0.02 0),-6.96121e-10)
(0.005,(-0.025 -0.015 0),-1.06949e-09)
