BOTTOMLAYER
640,-0.5
(0.005,(-0.035 0.015 0),-1.83844e-09)
(0.005,(-0.035 0.02 0),-1.83912e-09)
(0.005,(-0.035 0.025 0),-1.84025e-09)
(0.005,(-0.035 0.03 0),-1.84194e-09)
(0.005,(-0.035 0.035 0),-1.84439e-09)
(0.005,(-0.035 0.04 0),-1.84813e-09)
(0.005,(-0.035 0.045 0),-1.85449e-09)
(0.005,(-0.035 0.05 0),-1.86827e-09)
(0.005,(-0.035 0.055 0),-1.91954e-09)
(0.005,(-0.035 0.06 0),-2.01778e-09)
(0.005,(-0.035 0.065 0),-2.06505e-09)
(0.005,(-0.035 0.07 0),-2.1103e-09)
(0.005,(-0.035 0.075 0),-2.61528e-09)
(0.005,(-0.03 -0.08 0),-2.59889e-09)
(0.005,(-0.03 -0.075 0),-2.09925e-09)
(0.005,(-0.03 -0.07 0),-2.06243e-09)
(0.005,(-0.03 -0.065 0),-1.86181e-09)
(0.005,(-0.03 -0.06 0),-1.01541e-09)
(0.005,(-0.03 -0.055 0),-5.75438e-10)
(0.005,(-0.03 -0.05 0),-4.54549e-10)
(0.005,(-0.03 -0.045 0),-4.51309e-10)
(0.005,(-0.03 -0.04 0),-5.65024e-10)
(0.005,(-0.03 -0.035 0),-9.94976e-10)
(0.005,(-0.03 -0.03 0),-1.82519e-09)
(0.005,(-0.03 -0.025 0),-1.99935e-09)
(0.005,(-0.03 -0.02 0),-1.9933e-09)
(0.005,(-0.03 -0.015 0),-1.87961e-09)
(0.005,(-0.03 -0.01 0),-1.33735e-09)
(0.005,(-0.03 -0.005 0),-1.08737e-09)
(0.005,(-0.03 0 0),-1.02245e-09)
(0.005,(-0.03 0.005 0),-9.98148e-10)
(0.005,(-0.03 0.01 0),-9.87149e-10)
(0.005,(-0.03 0.015 0),-9.81939e-10)
(0.005,(-0.03 0.02 0),-9.80057e-10)
(0.005,(-0.03 0.025 0),-9.80756e-10)
(0.005,(-0.03 0.03 0),-9.84175e-10)
(0.005,(-0.03 0.035 0),-9.9136e-10)
(0.005,(-0.03 0.04 0),-1.00513e-09)
(0.005,(-0.03 0.045 0),-1.03347e-09)
(0.005,(-0.03 0.05 0),-1.10439e-09)
(0.005,(-0.03 0.055 0),-1.36354e-09)
(0.005,(-0.03 0.06 0),-1.91986e-09)
(0.005,(-0.03 0.065 0),-2.05761e-09)
(0.005,(-0.03 0.07 0),-2.09972e-09)
(0.005,(-0.03 0.075 0),-2.60301e-09)
(0.005,(-0.025 -0.08 0),-2.59317e-09)
(0.005,(-0.025 -0.075 0),-2.0933e-09)
(0.005,(-0.025 -0.07 0),-2.05595e-09)
(0.005,(-0.025 -0.065 0),-1.85563e-09)
(0.005,(-0.025 -0.06 0),-1.01201e-09)
(0.005,(-0.025 -0.055 0),-5.73318e-10)
(0.005,(-0.025 -0.05 0),-4.52521e-10)
(0.005,(-0.025 -0.045 0),-4.48973e-10)
(0.005,(-0.025 -0.04 0),-5.61985e-10)
(0.005,(-0.025 -0.035 0),-9.90274e-10)
(0.005,(-0.025 -0.03 0),-1.81796e-09)
(0.005,(-0.025 -0.025 0),-1.99176e-09)
(0.005,(-0.025 -0.02 0),-1.98847e-09)
(0.005,(-0.025 -0.015 0),-1.82808e-09)
(0.005,(-0.025 -0.01 0),-1.07977e-09)
